Instrument;Date Debut;Maturité;Rate;;
DEPOSIT;2D;3M;1,08;;
FRA;1M;4M;1,085;;
FRA;2M;5M;1,081;;
FRA;3M;6M;1,078;;
FRA;4M;7M;1,08;;
FRA;5M;8M;1,076;;
FRA;6M;9M;1,077;;
FRA;7M;10M;1,075;;
FRA;8M;11M;1,076;;
FRA;9M;12M;1,077;;
FRA;12M;15M;1,086;;
FRA;15M;18M;1,1015;;
FRA;18M;21M;1,1265;;
FRA;21M;24M;1,149;;
SWAP;2D;3Y;1,137;;
SWAP;2D;4Y;1,2045;;
SWAP;2D;5Y;1,293;;
SWAP;2D;6Y;1,403;;
SWAP;2D;7Y;1,528;;
SWAP;2D;8Y;1,661;;
SWAP;2D;9Y;1,791;;
SWAP;2D;10Y;1,913;;
SWAP;2D;11Y;2,023;;
SWAP;2D;12Y;2,121;;
SWAP;2D;15Y;2,353;;
SWAP;2D;20Y;2,578;;
SWAP;2D;25Y;2,679;;
SWAP;2D;30Y;2,72;;
