Instrument;Date Debut;Maturité;Rates;;
DEPOSIT;2D;6M;1,181;;
SWAP;2D;1Y;1,185;;
SWAP;2D;18M;1,193;;
SWAP;2D;2Y;1,208;;
SWAP;2D;3Y;1,2593;;
SWAP;2D;4Y;1,3336;;
SWAP;2D;5Y;1,419;;
SWAP;2D;6Y;1,5285;;
SWAP;2D;7Y;1,656;;
SWAP;2D;8Y;1,786;;
SWAP;2D;9Y;1,911;;
SWAP;2D;10Y;2,028;;
SWAP;2D;11Y;2,1405;;
SWAP;2D;12Y;2,2275;;
SWAP;2D;13Y;2,3156;;
SWAP;2D;14Y;2,388;;
SWAP;2D;15Y;2,4503;;
SWAP;2D;16Y;2,5;;
SWAP;2D;17Y;2,548;;
SWAP;2D;18Y;2,589;;
SWAP;2D;19Y;2,624;;
SWAP;2D;20Y;2,6583;;
SWAP;2D;21Y;2,678;;
SWAP;2D;22Y;2,7;;
SWAP;2D;23Y;2,7215;;
SWAP;2D;24Y;2,74;;
SWAP;2D;25Y;2,7483;;
SWAP;2D;26Y;2,755;;
SWAP;2D;27Y;2,764;;
SWAP;2D;28Y;2,772;;
SWAP;2D;29Y;2,78;;
SWAP;2D;30Y;2,786;;
